region_name,ce_target_fraction,allowed_resources,external_ce_addl_historical_amount
Alabama,0,"solar,wind",
Arizona,0.6,"geothermal, solar, wind",
Arkansas,0,"solar,wind",
California,0.6,"geothermal, solar, wind",32045471.74
Colorado,0.6,"geothermal, solar, wind",
Connecticut,0.7,"hydro, solar, wind",
Delaware,0.7,"hydro, solar, wind",
Florida,0,"solar,wind",
Georgia,0,"solar,wind",
Idaho,0.6,"geothermal, solar, wind",
Illinois,0.7,"hydro, solar, wind",
Indiana,0.7,"hydro, solar, wind",
Iowa,0,"solar,wind",
Kansas,0.7,"hydro, solar, wind",
Kentucky,0,"solar,wind",
Louisiana,0,"solar,wind",
Maine,0.7,"hydro, solar, wind",
Maryland,0.7,"hydro, solar, wind",
Massachusetts,0.7,"hydro, solar, wind",
Michigan,0.7,"hydro, solar, wind",
Minnesota,0.7,"hydro, solar, wind",
Mississippi,0,"solar,wind",
Missouri,0.7,"hydro, solar, wind",
Montana Eastern,0,"solar,wind",
Montana Western,0.6,"geothermal, solar, wind",
Nebraska,0,"solar,wind",
Nevada,0.6,"geothermal, solar, wind",
New Hampshire,0.7,"hydro, solar, wind",
New Jersey,0.7,"hydro, solar, wind",
New Mexico Eastern,0,"solar,wind",
New Mexico Western,0.6,"geothermal, solar, wind",
New York,0.7,"hydro, solar, wind",
North Carolina,0.7,"hydro, solar, wind",
North Dakota,0.7,"hydro, solar, wind",
Ohio,0.7,"hydro, solar, wind",
Oklahoma,0.7,"hydro, solar, wind",
Oregon,0.6,"geothermal, solar, wind",
Pennsylvania,0.7,"hydro, solar, wind",
Rhode Island,0.7,"hydro, solar, wind",
South Carolina,0.7,"hydro, solar, wind",
South Dakota,0.7,"hydro, solar, wind",
Tennessee,0,"solar,wind",
Texas,0.4189,"solar,wind",
Utah,0.6,"geothermal, solar, wind",
Vermont,0.7,"hydro, solar, wind",
Virginia,0.7,"hydro, solar, wind",
Washington,0.6,"geothermal, solar, wind",
West Virginia,0,"solar,wind",
Wisconsin,0.7,"hydro, solar, wind",
Wyoming,0.6,"geothermal, solar, wind",
