region_name,ce_target_fraction,allowed_resources,external_ce_addl_historical_amount
Arizona,0.15,"geothermal, solar, wind",
California,0.6,"geothermal, solar, wind",32045471.74
Colorado,0.3,"geothermal, solar, wind",
Idaho,0.000001,"solar,wind",
Montana Western,0.15,"geothermal, solar, wind",
Nevada,0.5,"geothermal, solar, wind",
New Mexico Western,0.4,"geothermal, solar, wind",
Oregon,0.25,"geothermal, solar, wind",
Utah,0.2,"geothermal, solar, wind",
Washington,0.8,"geothermal, hydro, nuclear, solar, wind",
Wyoming,0.000001,"solar,wind",
Alabama,0,"solar,wind",
Arkansas,0,"solar,wind",
Connecticut,0.44,"geothermal, hydro, solar, wind",
Delaware,0.25,"geothermal, hydro, solar, wind",
Florida,0,"solar,wind",
Georgia,0,"solar,wind",
Iowa,0,"solar,wind",
Illinois,0.25,"hydro, solar, wind",
Indiana,0.1,"geothermal, hydro, nuclear, solar, wind",
Kansas,0.2,"hydro, solar, wind",
Kentucky,0,"solar,wind",
Louisiana,0,"solar,wind",
Massachusetts,0.35,"geothermal, hydro, solar, wind",
Maryland,0.5,"geothermal, hydro, solar, wind",
Maine,0.8,"geothermal, hydro, solar, wind",
Michigan,0.35,"geothermal, hydro, solar, wind",
Minnesota,0.25,"hydro,solar,wind",
Missouri,0.15,"hydro, solar, wind",
Mississippi,0,"solar,wind",
Montana Eastern,0,"solar,wind",
North Carolina,0.13,"geothermal, hydro, solar, wind",
North Dakota,0.1,"geothermal, hydro, solar, wind",
Nebraska,0,"solar,wind",
New Hampshire,0.25,"geothermal, solar, wind",
New Jersey,0.5,"geothermal, hydro, solar, wind",
New Mexico Eastern,0,"solar,wind",
New York,0.7,"hydro, solar, wind",
Ohio,0.09,"geothermal, hydro, solar, wind",
Oklahoma,0.15,"geothermal, hydro, solar, wind",
Pennsylvania,0.18,"geothermal, hydro, solar, wind",
Rhode Island,0.31,"geothermal, hydro, solar, wind",
South Carolina,0.02,"geothermal, hydro, solar, wind",
South Dakota,0.1,"geothermal, hydro, solar, wind",
Tennessee,0,"solar,wind",
Texas,0.2437,"solar,wind",
Virginia,0.15,"geothermal, hydro, solar, wind",
Vermont,0.75,"geothermal, hydro, solar, wind",
Wisconsin,0.1,"geothermal, hydro, solar, wind",
West Virginia,0,"solar,wind",
